,cdb,brasil_plural,bnp_paribas,adam,azquest,brax11,smal11
2015-02-02,41.2693865834,1.57738168,1022.323144,,1.454736,38.72,47.37
2015-02-03,41.28806729035,1.57807984,1022.8047586,,1.4555603,39.73,47.86
2015-02-04,41.306771076649994,1.57878943,1023.2596387,,1.4628789,40.21,47.92
2015-02-05,41.32548333614999,1.57949156,1023.7264208,,1.4568094,40.15,48.3
2015-02-06,41.3442040723,1.58019152,1024.1816448,,1.4563223,39.65,48.0
2015-02-09,41.362933289699995,1.58089343,1024.6368765,,1.455383,39.82,48.29
2015-02-10,41.381670990649994,1.58158702,1025.1037256,,1.4595493,39.86,47.96
2015-02-11,41.4004171809,1.5822832,1025.5713334,,1.4626095,39.29,46.92
2015-02-12,41.41917186275,1.58297915,1026.0304515,,1.4605428,40.33,47.65
2015-02-13,41.43793504079999,1.58368353,1026.47978,,1.4536249,41.17,48.42
2015-02-18,41.456706718499994,1.58439302,1026.9386878,,1.453588,41.17,49.26
2015-02-19,41.475486900449994,1.58509787,1027.3956897,,1.4500181,41.82,49.47
2015-02-20,41.494275590099996,1.58580068,1027.8580934,,1.4526509,41.69,49.3
2015-02-23,41.5130727909,1.58650116,1028.326927,,1.4486461,41.69,48.99
2015-02-24,41.531878506299996,1.5872069,1028.7792939,,1.4472861,41.81,49.34
2015-02-25,41.5506927409,1.58790941,1029.2246244,,1.4492432,41.7,49.35
2015-02-26,41.569515499299996,1.58861484,1029.6882901,,1.4561025,41.93,50.35
2015-02-27,41.5883467838,1.58928864,1030.1229034,,1.4517797,42.01,49.49
2015-03-02,41.607186599,1.58999829,1030.5786764,,1.456003,41.49,49.31
2015-03-03,41.626034949499996,1.59070811,1031.0433053,,1.4588332,41.63,49.37
2015-03-04,41.6448918376,1.59141626,1031.4985589,,1.4627318,41.18,48.7
2015-03-05,41.663757267899996,1.59212187,1031.9631386,,1.4621683,40.99,48.68
2015-03-06,41.68338213404999,1.59286393,1032.4404103,,1.4638806,40.8,48.39
2015-03-09,41.7030162439,1.59360316,1032.9362025,,1.4678982,40.12,47.3
2015-03-10,41.722659602049994,1.59434259,1033.4351418,,1.4659369,39.55,47.21
2015-03-11,41.74231221309999,1.59509698,1033.9262603,,1.4687237,39.9,48.0
2015-03-12,41.761974080499996,1.59583759,1034.3942293,,1.4690438,40.5,48.18
2015-03-13,41.78164520885,1.59657577,1034.8772459,,1.4690075,39.85,48.02
2015-03-16,41.801325603900004,1.59731033,1035.3642047,,1.4678024,39.85,48.04
2015-03-17,41.821015267949996,1.59804809,1035.8429239,,1.468278,40.82,48.7
2015-03-18,41.84071420675,1.59878566,1036.3326351,,1.4628209,42.09,49.48
2015-03-19,41.8604224249,1.59952274,1036.8190785,,1.4714373,42.09,49.15
2015-03-20,41.880139925849996,1.60026738,1037.3144663,,1.4693826,42.48,50.0
2015-03-23,41.8998667142,1.60100502,1037.7893744,,1.470174,42.41,50.33
2015-03-24,41.91961756745,1.6017409,1038.2832593,,1.4710273,41.93,50.29
2015-03-25,41.939377731099995,1.60248379,1038.7534192,,1.4739261,42.36,50.22
2015-03-26,41.959147208599994,1.60322551,1039.2149652,,1.4791029,41.45,49.56
2015-03-27,41.978926005699996,1.60397005,1039.6989625,,1.4829161,40.91,49.11
2015-03-30,41.99871412585,1.6047144,1040.1753083,,1.4790753,41.76,49.77
2015-03-31,42.018496766249996,1.60545816,1040.6532986,,1.4859125,41.8,49.92
2015-04-01,42.038288725099996,1.60621077,1041.1408333,,1.4810523,42.64,50.59
2015-04-02,42.05809000585,1.60695657,1041.6243661,,1.4736379,43.38,51.26
2015-04-06,42.07790061424999,1.60770377,1042.1005413,,1.4776906,43.76,52.21
2015-04-07,42.09772055375,1.60844721,1042.5698234,,1.4809313,43.81,51.66
2015-04-08,42.11754982895,1.60919549,1043.0315379,,1.4764402,44.0,51.6
2015-04-09,42.137388444449996,1.60993764,1043.4994652,,1.4777693,43.82,51.33
2015-04-10,42.157236404849996,1.610688,1043.9749747,,1.4759973,44.07,51.44
2015-04-13,42.177093713599994,1.611445,1044.4464581,,1.4805682,44.33,51.64
2015-04-14,42.19696037645,1.61219461,1044.8995703,,1.4828357,43.88,51.55
2015-04-15,42.21683639685,1.61294325,1045.3755286,,1.4814335,43.88,52.07
2015-04-16,42.23672177939999,1.61369221,1045.8553799,,1.4842097,44.37,51.92
2015-04-17,42.2566165287,1.61443825,1046.3400503,,1.4865856,43.9,51.78
2015-04-20,42.2765206482,1.61518363,1046.8321825,,1.4882504,43.9,51.62
2015-04-22,42.296434143649996,1.61593694,1047.616414,,1.4869607,43.9,52.28
2015-04-23,42.3163570185,1.61669594,1048.0905971,,1.4882991,44.17,52.76
2015-04-24,42.33628927849999,1.61744743,1048.5518419,,1.48671,45.5,53.05
2015-04-27,42.35623092709999,1.61819988,1049.0164448,,1.4857133,45.08,52.46
2015-04-28,42.37619690165,1.61895233,1049.4797005,,1.4818708,45.08,52.18
2015-04-29,42.39618722744999,1.61970723,1049.9765708,,1.4934257,45.08,51.3
2015-04-30,42.41618698325,1.62046259,1050.3938966,,1.4956856,45.59,51.36
2015-05-04,42.436927274649996,1.62121975,1050.9075747,,1.4924191,46.49,52.22
2015-05-05,42.45767770675,1.62199115,1051.4228927,,1.4872196,47.03,52.75
2015-05-06,42.4784680887,1.62277399,1051.9396509,,1.4891977,46.13,52.2
2015-05-07,42.4992686516,1.62356136,1052.472187,,1.4901152,46.13,52.03
2015-05-08,42.520079398899995,1.6243482,1053.0057788,,1.4822898,46.13,52.39
2015-05-11,42.54090033749999,1.62511652,1053.5026331,,1.4835929,46.58,52.23
2015-05-12,42.56173147085,1.62588692,1054.0203993,,1.4914171,46.25,51.9
2015-05-13,42.58257280469999,1.62650505,1054.5298106,,1.4923475,45.84,51.43
2015-05-14,42.6034243448,1.62750141,1055.0338983,,1.4915781,46.11,51.92
2015-05-15,42.6242860946,1.62799969,1055.5444663,,1.494134,46.54,52.7
2015-05-18,42.64515805985,1.62904911,1056.0644655,,1.4961037,45.67,52.06
2015-05-19,42.66604024629999,1.62985305,1056.5531594,,1.4898643,45.3,51.84
2015-05-20,42.68693265739999,1.63064356,1057.0674491,,1.4937249,45.3,52.03
2015-05-21,42.707835298899994,1.63144686,1057.5734096,,1.498988,44.6,51.95
2015-05-22,42.72874817655,1.63221319,1058.1361126,,1.5042524,44.35,51.36
2015-05-25,42.7496712938,1.63300823,1058.5906901,,1.5068837,44.62,51.41
2015-05-26,42.770604657549995,1.63380642,1059.0862836,,1.5139249,43.82,50.6
2015-05-27,42.79154827125,1.63454305,1059.5943364,,1.5159987,44.19,51.11
2015-05-28,42.81250214065,1.63532776,1060.1049365,,1.5179758,43.82,50.99
2015-05-29,42.833466270349994,1.63611479,1060.6074751,,1.516825,43.13,50.25
2015-06-01,42.8544406661,1.63698406,1061.1240208,,1.5185897,43.29,50.65
2015-06-02,42.8754253325,1.63786669,1061.6393464,,1.5181358,44.2,51.44
2015-06-03,42.896420274149996,1.63859898,1062.1577567,,1.5206883,43.72,51.04
2015-06-05,42.91742549679999,1.63937996,1062.6708111,,1.5247298,43.43,50.97
2015-06-08,42.9392074214,1.64025158,1063.2046037,,1.5233485,43.43,50.7
2015-06-09,42.96100040095,1.64109745,1063.7257976,,1.5225282,43.48,50.5
2015-06-10,42.982804441199995,1.64192298,1064.2615042,,1.520371,43.48,50.72
2015-06-11,43.0046195479,1.64276337,1064.8038996,,1.5189159,43.81,50.57
2015-06-12,43.02644572565,1.64359831,1065.3661801,,1.5206444,43.53,50.24
2015-06-15,43.04828298135,1.64442485,1065.8860636,,1.5214366,43.44,50.12
2015-06-16,43.070131319599994,1.64538097,1066.4325977,,1.5152367,43.44,50.03
2015-06-17,43.091990747299995,1.64618982,1066.9632904,,1.5164796,43.54,49.82
2015-06-18,43.11386126905,1.64702631,1067.5089622,,1.5118343,44.2,50.17
2015-06-19,43.1357428906,1.64783966,1068.0448035,,1.5172683,43.83,50.17
2015-06-22,43.157635617699995,1.64862238,1068.5862711,,1.5128712,43.83,50.29
2015-06-23,43.179539456099995,1.64950541,1069.1285133,,1.5169492,44.25,50.4
2015-06-24,43.201454411549996,1.65033499,1069.6584365,,1.5169817,43.94,50.0
2015-06-25,43.2233804898,1.65116672,1070.1954093,,1.5204308,43.45,49.51
2015-06-26,43.24531769544999,1.65195492,1070.7409029,,1.5159313,43.45,49.76
2015-06-29,43.26726603539999,1.65268806,1071.268629,,1.5165723,43.31,49.15
2015-06-30,43.2892255154,1.65336706,1071.7905523,,1.5178953,43.39,49.57
2015-07-01,43.311196140049994,1.65421787,1072.327629,,1.5206901,43.39,49.76
2015-07-02,43.3331779151,1.65510375,1072.8621439,,1.5191062,43.39,50.0
2015-07-03,43.35517084745,1.65596353,1073.3888661,,1.526501,43.39,49.67
2015-07-06,43.3771749417,1.65680283,1073.9181537,,1.5259293,43.19,49.6
2015-07-07,43.39919020359999,1.65762532,1074.4478185,,1.5267995,42.97,49.29
2015-07-08,43.4212166389,1.65846496,1074.9872258,,1.5297602,42.53,49.05
2015-07-09,43.44325425335,1.65925807,1075.5097375,,1.5297502,42.53,49.05
2015-07-10,43.4653030527,1.66009805,1076.0593298,,1.5286434,43.25,49.6
2015-07-13,43.4873630427,1.66097478,1076.6191144,,1.5270495,43.42,49.81
2015-07-14,43.509434227949995,1.66181523,1077.1492433,,1.5254023,43.42,50.0
2015-07-15,43.53151661535,1.66266037,1077.7109493,,1.5248248,43.42,50.26
2015-07-16,43.55361021064999,1.66343656,1078.2570695,,1.527555,43.49,50.34
2015-07-17,43.57571501845,1.66427814,1078.7858459,,1.5294489,43.49,49.79
2015-07-20,43.59783104565,1.66509192,1079.3120159,,1.5342749,43.49,49.3
2015-07-21,43.619958296849994,1.66593969,1079.8579838,,1.5350997,42.31,49.16
2015-07-22,43.64209677895,1.6667781,1080.395139,,1.5376324,42.31,48.69
2015-07-23,43.66424649654999,1.6676256,1080.9222909,,1.5477565,42.31,47.51
2015-07-24,43.686407455399994,1.6683921,1081.4961548,,1.5563893,42.31,46.95
2015-07-27,43.7085796624,1.66929855,1082.0445588,,1.5565176,40.47,46.73
2015-07-28,43.730763122149995,1.67008342,1082.5816773,,1.5629007,40.97,46.92
2015-07-29,43.75295784039999,1.67088592,1083.125711,,1.5656624,40.97,47.24
2015-07-30,43.77516382405,1.67172124,1083.6633638,,1.5686743,41.56,47.67
2015-07-31,43.798128870949995,1.67259071,1084.2497208,,1.5708501,41.93,47.71
2015-08-03,43.82110596525,1.67345475,1084.794793,,1.5722981,41.93,47.25
2015-08-04,43.844095113849995,1.67433166,1085.3689981,,1.573211,41.93,47.36
2015-08-05,43.8670963225,1.67520165,1085.9475227,,1.5766172,41.93,47.25
2015-08-06,43.8901095981,1.67604141,1086.5132673,,1.5835101,41.4,46.65
2015-08-07,43.9131349464,1.67691857,1087.114092,,1.5844999,40.96,45.81
2015-08-10,43.93617237429999,1.67780566,1087.6945768,,1.5794435,40.68,45.84
2015-08-11,43.9592218887,1.67868294,1088.2721568,,1.5804457,40.55,45.3
2015-08-12,43.9822834942,1.67955207,1088.8527686,,1.5790039,40.16,45.54
2015-08-13,44.00535719885,1.68042963,1089.4006143,,1.5886803,39.6,45.41
2015-08-14,44.0284430084,1.68128398,1089.9780747,,1.5880444,39.36,45.27
2015-08-17,44.0515409286,1.68215113,1090.5334248,,1.5857243,39.46,45.45
2015-08-18,44.07465096635,1.6830059,1091.1043595,,1.5883263,39.58,45.35
2015-08-19,44.09777312855,1.68380462,1091.7083079,,1.5935044,38.35,44.43
2015-08-20,44.12090742094999,1.68472581,1092.2737325,,1.5862483,38.16,44.56
2015-08-21,44.1440538493,1.68558836,1092.8303601,,1.5911421,37.85,43.7
2015-08-24,44.1672124205,1.68645668,1093.405653,,1.5870633,36.7,42.43
2015-08-25,44.19038314145,1.68732938,1093.9849084,,1.5886549,36.9,42.78
2015-08-26,44.21356601789999,1.68824712,1094.5540419,,1.587964,38.08,43.42
